Date,Total_Overtime_Hours,Unique_Employees,Overtime_Entries
2024-01-01,417.17,64,64
2024-01-02,189.0,53,53
2024-01-03,161.5,49,49
2024-01-04,266.0,62,62
2024-01-05,374.25,83,85
2024-01-06,1693.59,247,247
2024-01-07,274.16,46,46
2024-01-08,261.5,75,75
2024-01-09,336.85,81,83
2024-01-10,257.0,54,55
2024-01-11,364.9,92,92
2024-01-12,409.1,102,103
2024-01-13,1768.87,252,253
2024-01-14,1397.95,192,192
2024-01-15,525.95,116,117
2024-01-16,354.63,88,90
2024-01-17,343.42,79,79
2024-01-18,313.23,75,77
2024-01-19,436.52,97,100
2024-01-20,406.64,69,69
2024-01-21,126.0,19,19
2024-01-22,283.73,76,76
2024-01-23,310.29,70,70
2024-01-24,262.43,71,72
2024-01-25,252.5,67,68
2024-01-26,316.98,76,78
2024-01-27,1807.45,266,267
2024-01-28,400.1,63,63
2024-01-29,250.43,71,72
2024-01-30,250.33,79,83
2024-01-31,428.36,92,95
2024-02-01,327.27,88,88
2024-02-02,347.93,85,85
2024-02-03,2138.56,326,326
2024-02-04,718.0,103,103
2024-02-05,447.35,109,109
2024-02-06,358.0,91,91
2024-02-07,354.85,74,74
2024-02-08,876.11,128,129
2024-02-09,294.5,58,58
2024-02-10,877.67,131,131
2024-02-11,121.5,19,19
2024-02-12,265.5,76,76
2024-02-13,341.0,93,93
2024-02-14,345.77,51,51
2024-02-15,414.89,93,93
2024-02-16,396.8,93,94
2024-02-17,961.67,159,159
2024-02-18,1647.01,227,227
2024-02-19,309.0,83,84
2024-02-20,357.53,86,88
2024-02-21,423.5,106,110
2024-02-22,523.98,115,116
2024-02-23,519.34,132,134
2024-02-24,2085.71,302,302
2024-02-25,609.99,87,87
2024-02-26,454.05,116,116
2024-02-27,472.48,116,118
2024-02-28,337.0,89,89
2024-02-29,408.22,91,91
2024-03-01,470.2,110,111
2024-03-02,851.82,130,130
2024-03-03,462.64,62,63
2024-03-04,513.97,120,120
2024-03-05,377.11,103,105
2024-03-06,447.77,107,109
2024-03-07,427.18,102,105
2024-03-08,361.96,97,98
2024-03-09,2338.88,321,321
2024-03-10,469.5,72,72
2024-03-11,522.48,77,77
2024-03-12,442.31,110,110
2024-03-13,405.82,107,108
2024-03-14,483.5,120,124
2024-03-15,558.86,127,128
2024-03-16,641.02,105,105
2024-03-17,198.0,30,30
2024-03-18,452.5,109,109
2024-03-19,416.5,100,100
2024-03-20,433.0,100,100
2024-03-21,367.4,99,100
2024-03-22,435.5,96,96
2024-03-23,2335.91,333,333
2024-03-24,992.59,146,146
2024-03-25,534.43,123,126
2024-03-26,437.96,110,111
2024-03-27,459.85,115,117
2024-03-28,473.58,115,116
2024-03-29,3393.52,444,445
2024-03-30,2624.73,365,365
2024-03-31,1637.15,238,238
2024-04-01,575.0,126,126
2024-04-02,630.5,134,134
2024-04-03,506.42,108,109
2024-04-04,448.98,112,112
2024-04-05,493.0,99,99
2024-04-06,2432.09,340,340
2024-04-07,1797.58,242,246
2024-04-08,38.0,11,11
2024-04-09,6.0,2,2
2024-04-10,393.08,62,62
2024-04-11,412.98,66,66
2024-04-12,4.0,1,1
2024-04-13,16.0,4,4
2024-04-14,54.0,10,10
2024-04-15,94.5,20,20
2024-04-16,521.06,125,125
2024-04-17,381.22,99,99
2024-04-18,372.5,92,92
2024-04-19,501.5,116,117
2024-04-20,2094.25,307,307
2024-04-21,603.12,88,88
2024-04-22,469.0,111,112
2024-04-23,445.52,111,113
2024-04-24,419.52,105,107
2024-04-25,446.3,110,112
2024-04-26,423.63,101,104
2024-04-27,996.94,156,156
2024-04-28,395.93,52,52
2024-04-29,519.12,117,118
2024-04-30,455.0,113,113
2024-05-01,924.0,127,127
2024-05-02,345.93,91,91
2024-05-03,480.52,117,118
2024-05-04,1241.84,194,194
2024-05-05,144.0,23,23
2024-05-06,400.5,103,103
2024-05-07,337.26,93,94
2024-05-08,287.0,71,71
2024-05-09,1161.29,172,172
2024-05-10,452.33,126,126
2024-05-11,1853.42,274,274
2024-05-12,709.31,96,97
2024-05-13,275.27,73,73
2024-05-14,390.5,106,106
2024-05-15,281.75,78,78
2024-05-16,355.0,93,93
2024-05-17,313.4,83,83
2024-05-18,774.97,146,146
2024-05-19,416.95,64,64
2024-05-20,336.21,99,99
2024-05-21,401.48,101,101
2024-05-22,405.18,104,104
2024-05-23,1011.93,134,134
2024-05-24,465.77,103,103
2024-05-25,839.22,133,133
2024-05-26,330.0,43,43
2024-05-27,452.9,124,128
2024-05-28,452.35,118,122
2024-05-29,425.75,109,114
2024-05-30,356.18,97,101
2024-05-31,341.93,86,91
2024-06-01,1492.01,199,199
2024-06-02,500.88,68,68
2024-06-03,464.8,119,122
2024-06-04,507.96,124,128
2024-06-05,478.78,121,124
2024-06-06,419.32,116,119
2024-06-07,296.25,81,82
2024-06-08,794.18,130,130
2024-06-09,575.49,81,82
2024-06-10,307.53,82,82
2024-06-11,485.5,113,113
2024-06-12,372.5,95,96
2024-06-13,329.0,91,92
2024-06-14,539.48,131,131
2024-06-15,795.2,134,134
2024-06-16,536.63,73,73
2024-06-17,875.25,122,122
2024-06-18,400.0,102,104
2024-06-19,455.02,118,120
2024-06-20,398.28,100,100
2024-06-21,409.5,100,100
2024-06-22,790.31,135,135
2024-06-23,503.2,71,71
2024-06-24,483.3,115,117
2024-06-25,423.15,103,106
2024-06-26,290.5,67,67
2024-06-27,293.85,75,75
